time,status,mem_trans,mem_act,size
17-11-06_10:35:48,0,240.1,0,0.2
17-11-06_10:35:48,0,23.5,0,0.2
17-11-06_10:35:49,0,4.9,0,0.2
17-11-06_10:35:49,0,2.8,0,0.2
17-11-06_10:35:55,0,4.8,0,0.2
17-11-06_10:35:55,0,2.6,0,0.2
17-11-06_10:35:57,0,3.9,0,0.2
17-11-06_10:35:57,0,4.0,0,0.2
17-11-06_10:35:57,0,9000.0,0,0.2
17-11-06_10:35:57,0,1202.5,0,0.2
17-11-06_10:35:57,0,2500.0,0,0.2
17-11-06_10:35:57,0,632.4,0,0.2
17-11-06_10:35:58,0,7700.0,0,0.2
17-11-06_10:35:58,0,4000.0,0,0.2
17-11-06_10:35:58,0,3700.0,0,0.2
17-11-06_10:35:58,0,7700.0,0,0.2
17-11-06_10:35:58,0,38.4,0,0.2
17-11-06_10:35:58,0,6.0,0,0.2
17-11-06_10:35:58,0,3.3,0,0.2
17-11-06_10:36:04,0,6.3,0,0.2
17-11-06_10:36:04,0,3.4,0,0.2
17-11-06_10:36:34,0,4.4,0,0.2
17-11-06_10:36:34,0,2.4,0,0.2
17-11-06_10:36:35,0,71.0,0,0.2
17-11-06_10:36:35,0,25.3,0,0.2
17-11-06_10:36:39,0,4.9,0,0.2
17-11-06_10:36:39,0,2.9,0,0.2
17-11-06_10:36:40,0,77.8,0,0.2
17-11-06_10:36:40,0,28.7,0,0.2
17-11-06_10:44:53,0,240.1,0,0.2
17-11-06_10:44:53,0,23.5,0,0.2
17-11-06_10:44:53,0,4.9,0,0.2
17-11-06_10:44:53,0,2.8,0,0.2
17-11-06_10:45:01,0,4.8,0,0.2
17-11-06_10:45:01,0,2.6,0,0.2
17-11-06_10:45:02,0,3.9,0,0.2
17-11-06_10:45:02,0,4.0,0,0.2
17-11-06_10:45:03,0,9000.0,0,0.2
17-11-06_10:45:03,0,1202.5,0,0.2
17-11-06_10:45:03,0,2500.0,0,0.2
17-11-06_10:45:03,0,632.4,0,0.2
17-11-06_10:45:03,0,7700.0,0,0.2
17-11-06_10:45:03,0,4000.0,0,0.2
17-11-06_10:45:03,0,3700.0,0,0.2
17-11-06_10:45:03,0,7700.0,0,0.2
17-11-06_10:45:03,0,38.4,0,0.2
17-11-06_10:45:03,0,6.0,0,0.2
17-11-06_10:45:03,0,3.3,0,0.2
17-11-06_10:45:10,0,6.3,0,0.2
17-11-06_10:45:10,0,3.4,0,0.2
17-11-06_10:45:40,0,4.4,0,0.2
17-11-06_10:45:40,0,2.4,0,0.2
17-11-06_10:45:41,0,71.0,0,0.2
17-11-06_10:45:41,0,25.2,0,0.2
17-11-06_10:45:46,0,4.9,0,0.2
17-11-06_10:45:46,0,2.9,0,0.2
17-11-06_10:45:47,0,77.8,0,0.2
17-11-06_10:45:47,0,28.7,0,0.2
17-11-06_10:45:55,0,240.1,0,0.2
17-11-06_10:45:55,0,23.5,0,0.2
17-11-06_10:45:56,0,4.9,0,0.2
17-11-06_10:45:56,0,2.8,0,0.2
17-11-06_10:46:03,0,4.8,0,0.2
17-11-06_10:46:03,0,2.6,0,0.2
17-11-06_10:46:04,0,3.9,0,0.2
17-11-06_10:46:04,0,4.0,0,0.2
17-11-06_10:46:04,0,9000.0,0,0.2
17-11-06_10:46:05,0,1202.5,0,0.2
17-11-06_10:46:05,0,2500.0,0,0.2
17-11-06_10:46:05,0,632.4,0,0.2
17-11-06_10:46:05,0,7700.0,0,0.2
17-11-06_10:46:05,0,4000.0,0,0.2
17-11-06_10:46:05,0,3700.0,0,0.2
17-11-06_10:46:05,0,7700.0,0,0.2
17-11-06_10:46:05,0,38.4,0,0.2
17-11-06_10:46:05,0,6.0,0,0.2
17-11-06_10:46:05,0,3.3,0,0.2
17-11-06_10:46:12,0,6.3,0,0.2
17-11-06_10:46:12,0,3.4,0,0.2
17-11-06_10:46:42,0,4.4,0,0.2
17-11-06_10:46:42,0,2.4,0,0.2
17-11-06_10:46:43,0,71.0,0,0.2
17-11-06_10:46:43,0,25.2,0,0.2
17-11-06_10:46:46,0,4.9,0,0.2
17-11-06_10:46:46,0,2.9,0,0.2
17-11-06_10:46:47,0,77.8,0,0.2
17-11-06_10:46:47,0,28.7,0,0.2
17-11-06_10:46:55,0,240.1,0,0.2
17-11-06_10:46:55,0,23.5,0,0.2
17-11-06_10:46:55,0,4.9,0,0.2
17-11-06_10:46:55,0,2.8,0,0.2
17-11-06_10:47:03,0,4.8,0,0.2
17-11-06_10:47:03,0,2.6,0,0.2
17-11-06_10:47:04,0,3.9,0,0.2
17-11-06_10:47:04,0,4.0,0,0.2
17-11-06_10:47:04,0,9000.0,0,0.2
17-11-06_10:47:04,0,1202.5,0,0.2
17-11-06_10:47:04,0,2500.0,0,0.2
17-11-06_10:47:05,0,632.4,0,0.2
17-11-06_10:47:05,0,7700.0,0,0.2
17-11-06_10:47:05,0,4000.0,0,0.2
17-11-06_10:47:05,0,3700.0,0,0.2
17-11-06_10:47:05,0,7700.0,0,0.2
17-11-06_10:47:05,0,38.4,0,0.2
17-11-06_10:47:05,0,6.0,0,0.2
17-11-06_10:47:05,0,3.3,0,0.2
17-11-06_10:47:13,0,6.3,0,0.2
17-11-06_10:47:13,0,3.4,0,0.2
17-11-06_10:47:44,0,4.4,0,0.2
17-11-06_10:47:44,0,2.4,0,0.2
17-11-06_10:47:45,0,71.0,0,0.2
17-11-06_10:47:45,0,25.2,0,0.2
17-11-06_10:47:48,0,4.9,0,0.2
17-11-06_10:47:48,0,2.9,0,0.2
17-11-06_10:47:49,0,77.8,0,0.2
17-11-06_10:47:49,0,28.7,0,0.2
17-11-06_10:47:56,0,240.1,0,0.2
17-11-06_10:47:57,0,23.5,0,0.2
17-11-06_10:47:57,0,4.9,0,0.2
17-11-06_10:47:57,0,2.8,0,0.2
17-11-06_10:48:03,0,4.8,0,0.2
17-11-06_10:48:03,0,2.6,0,0.2
17-11-06_10:48:05,0,3.9,0,0.2
17-11-06_10:48:05,0,4.0,0,0.2
17-11-06_10:48:05,0,9000.0,0,0.2
17-11-06_10:48:05,0,1202.5,0,0.2
17-11-06_10:48:05,0,2500.0,0,0.2
17-11-06_10:48:05,0,632.4,0,0.2
17-11-06_10:48:06,0,7700.0,0,0.2
17-11-06_10:48:06,0,4000.0,0,0.2
17-11-06_10:48:06,0,3700.0,0,0.2
17-11-06_10:48:06,0,7700.0,0,0.2
17-11-06_10:48:06,0,38.4,0,0.2
17-11-06_10:48:06,0,6.0,0,0.2
17-11-06_10:48:06,0,3.3,0,0.2
17-11-06_10:48:12,0,6.3,0,0.2
17-11-06_10:48:12,0,3.4,0,0.2
17-11-06_10:48:42,0,4.4,0,0.2
17-11-06_10:48:42,0,2.4,0,0.2
17-11-06_10:48:44,0,71.0,0,0.2
17-11-06_10:48:44,0,25.2,0,0.2
17-11-06_10:48:49,0,4.9,0,0.2
17-11-06_10:48:49,0,2.9,0,0.2
17-11-06_10:48:50,0,77.8,0,0.2
17-11-06_10:48:50,0,28.7,0,0.2
17-11-06_10:48:56,0,240.1,0,0.2
17-11-06_10:48:56,0,23.5,0,0.2
17-11-06_10:48:57,0,4.9,0,0.2
17-11-06_10:48:57,0,2.8,0,0.2
17-11-06_10:49:05,0,4.8,0,0.2
17-11-06_10:49:05,0,2.6,0,0.2
17-11-06_10:49:06,0,3.9,0,0.2
17-11-06_10:49:06,0,4.0,0,0.2
17-11-06_10:49:06,0,9000.0,0,0.2
17-11-06_10:49:06,0,1202.5,0,0.2
17-11-06_10:49:06,0,2500.0,0,0.2
17-11-06_10:49:06,0,632.4,0,0.2
17-11-06_10:49:07,0,7700.0,0,0.2
17-11-06_10:49:07,0,4000.0,0,0.2
17-11-06_10:49:07,0,3700.0,0,0.2
17-11-06_10:49:07,0,7700.0,0,0.2
17-11-06_10:49:07,0,38.4,0,0.2
17-11-06_10:49:07,0,6.0,0,0.2
17-11-06_10:49:07,0,3.3,0,0.2
17-11-06_10:49:13,0,6.3,0,0.2
17-11-06_10:49:13,0,3.4,0,0.2
17-11-06_10:49:43,0,4.4,0,0.2
17-11-06_10:49:43,0,2.4,0,0.2
17-11-06_10:49:44,0,71.0,0,0.2
17-11-06_10:49:44,0,25.2,0,0.2
17-11-06_10:49:48,0,4.9,0,0.2
17-11-06_10:49:48,0,2.9,0,0.2
17-11-06_10:49:49,0,77.8,0,0.2
17-11-06_10:49:49,0,28.7,0,0.2
17-11-06_10:49:54,0,240.1,0,0.2
17-11-06_10:49:55,0,23.5,0,0.2
17-11-06_10:49:55,0,4.9,0,0.2
17-11-06_10:49:55,0,2.8,0,0.2
17-11-06_10:50:03,0,4.8,0,0.2
17-11-06_10:50:03,0,2.6,0,0.2
17-11-06_10:50:04,0,3.9,0,0.2
17-11-06_10:50:04,0,4.0,0,0.2
17-11-06_10:50:04,0,9000.0,0,0.2
17-11-06_10:50:04,0,1202.5,0,0.2
17-11-06_10:50:04,0,2500.0,0,0.2
17-11-06_10:50:04,0,632.4,0,0.2
17-11-06_10:50:04,0,7700.0,0,0.2
17-11-06_10:50:04,0,4000.0,0,0.2
17-11-06_10:50:04,0,3700.0,0,0.2
17-11-06_10:50:04,0,7700.0,0,0.2
17-11-06_10:50:04,0,38.4,0,0.2
17-11-06_10:50:04,0,6.0,0,0.2
17-11-06_10:50:04,0,3.3,0,0.2
17-11-06_10:50:12,0,6.3,0,0.2
17-11-06_10:50:12,0,3.4,0,0.2
17-11-06_10:50:41,0,4.4,0,0.2
17-11-06_10:50:41,0,2.4,0,0.2
17-11-06_10:50:42,0,71.0,0,0.2
17-11-06_10:50:42,0,25.2,0,0.2
17-11-06_10:50:47,0,4.9,0,0.2
17-11-06_10:50:47,0,2.9,0,0.2
17-11-06_10:50:48,0,77.8,0,0.2
17-11-06_10:50:48,0,28.7,0,0.2
17-11-06_10:50:55,0,240.1,0,0.2
17-11-06_10:50:55,0,23.5,0,0.2
17-11-06_10:50:56,0,4.9,0,0.2
17-11-06_10:50:56,0,2.8,0,0.2
17-11-06_10:51:03,0,4.8,0,0.2
17-11-06_10:51:03,0,2.6,0,0.2
17-11-06_10:51:04,0,3.9,0,0.2
17-11-06_10:51:04,0,4.0,0,0.2
17-11-06_10:51:04,0,9000.0,0,0.2
17-11-06_10:51:04,0,1202.5,0,0.2
