time,status,mem_trans,mem_act,size,cpu_user,cpu_system,bytes_in,bytes_out,worker
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,4.8,0.0,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,0.0,2.6,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,2.6,0.0,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,2.6,0.0,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:48,322.0,4.8,0.0,0.1,7.7796875,0.52890625,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,3.4,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,10000.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,6.3,0.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,781.8,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,3.4,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,3.4,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,3.4,0.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,3.4,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,4000.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,865.8,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,10000.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,4000.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,24.3,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,865.8,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,24.3,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,3.4,0.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,6.3,0.0,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:43:52,322.0,0.0,781.8,0.1,8.831640625,0.5732421875,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,420.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,781.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,781.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,4.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,4.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,4.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,4.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,781.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,420.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,781.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,25.3,0.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,25.3,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,71.0,0.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,25.3,0.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,25.3,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,25.3,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,420.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,25.3,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,420.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,71.0,0.0,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
17-11-07_14:44:08,322.0,0.0,420.8,0.1,0.1125,0.0,987.56703125,1942.04132812,8.0
